5 Minutes,Flow (Veh/5 Minutes),# Lane Points,% Observed
2022/01/06 00:00,184,4,0.00
2022/01/06 00:05,173,4,0.00
2022/01/06 00:10,153,4,0.00
2022/01/06 00:15,141,4,0.00
2022/01/06 00:20,154,4,0.00
2022/01/06 00:25,141,4,0.00
2022/01/06 00:30,139,4,0.00
2022/01/06 00:35,126,4,0.00
2022/01/06 00:40,125,4,0.00
2022/01/06 00:45,108,4,0.00
2022/01/06 00:50,110,4,0.00
2022/01/06 00:55,121,4,0.00
2022/01/06 01:00,100,4,0.00
2022/01/06 01:05,106,4,0.00
2022/01/06 01:10,93,4,0.00
2022/01/06 01:15,90,4,0.00
2022/01/06 01:20,97,4,0.00
2022/01/06 01:25,82,4,0.00
2022/01/06 01:30,87,4,0.00
2022/01/06 01:35,90,4,0.00
2022/01/06 01:40,79,4,0.00
2022/01/06 01:45,66,4,0.00
2022/01/06 01:50,78,4,0.00
2022/01/06 01:55,81,4,0.00
2022/01/06 02:00,79,4,0.00
2022/01/06 02:05,82,4,0.00
2022/01/06 02:10,76,4,0.00
2022/01/06 02:15,66,4,0.00
2022/01/06 02:20,87,4,0.00
2022/01/06 02:25,75,4,0.00
2022/01/06 02:30,85,4,0.00
2022/01/06 02:35,88,4,0.00
2022/01/06 02:40,85,4,0.00
2022/01/06 02:45,82,4,0.00
2022/01/06 02:50,69,4,0.00
2022/01/06 02:55,65,4,0.00
2022/01/06 03:00,60,4,0.00
2022/01/06 03:05,73,4,0.00
2022/01/06 03:10,76,4,0.00
2022/01/06 03:15,69,4,0.00
2022/01/06 03:20,82,4,0.00
2022/01/06 03:25,91,4,0.00
2022/01/06 03:30,73,4,0.00
2022/01/06 03:35,82,4,0.00
2022/01/06 03:40,84,4,0.00
2022/01/06 03:45,90,4,0.00
2022/01/06 03:50,83,4,0.00
2022/01/06 03:55,91,4,0.00
2022/01/06 04:00,89,4,0.00
2022/01/06 04:05,95,4,0.00
2022/01/06 04:10,110,4,0.00
2022/01/06 04:15,116,4,0.00
2022/01/06 04:20,108,4,0.00
2022/01/06 04:25,137,4,0.00
2022/01/06 04:30,127,4,0.00
2022/01/06 04:35,143,4,0.00
2022/01/06 04:40,153,4,0.00
2022/01/06 04:45,171,4,0.00
2022/01/06 04:50,168,4,0.00
2022/01/06 04:55,196,4,0.00
2022/01/06 05:00,172,4,0.00
2022/01/06 05:05,183,4,0.00
2022/01/06 05:10,211,4,0.00
2022/01/06 05:15,205,4,0.00
2022/01/06 05:20,238,4,0.00
2022/01/06 05:25,258,4,0.00
2022/01/06 05:30,263,4,0.00
2022/01/06 05:35,289,4,0.00
2022/01/06 05:40,308,4,0.00
2022/01/06 05:45,319,4,0.00
2022/01/06 05:50,319,4,0.00
2022/01/06 05:55,302,4,0.00
2022/01/06 06:00,294,4,0.00
2022/01/06 06:05,321,4,0.00
2022/01/06 06:10,343,4,0.00
2022/01/06 06:15,352,4,0.00
2022/01/06 06:20,369,4,0.00
2022/01/06 06:25,421,4,0.00
2022/01/06 06:30,430,4,0.00
2022/01/06 06:35,452,4,0.00
2022/01/06 06:40,442,4,0.00
2022/01/06 06:45,458,4,0.00
2022/01/06 06:50,445,4,0.00
2022/01/06 06:55,467,4,0.00
2022/01/06 07:00,444,4,0.00
2022/01/06 07:05,436,4,0.00
2022/01/06 07:10,478,4,0.00
2022/01/06 07:15,503,4,0.00
2022/01/06 07:20,514,4,0.00
2022/01/06 07:25,533,4,0.00
2022/01/06 07:30,546,4,0.00
2022/01/06 07:35,560,4,0.00
2022/01/06 07:40,555,4,0.00
2022/01/06 07:45,529,4,0.00
2022/01/06 07:50,551,4,0.00
2022/01/06 07:55,547,4,0.00
2022/01/06 08:00,530,4,0.00
2022/01/06 08:05,524,4,0.00
2022/01/06 08:10,557,4,0.00
2022/01/06 08:15,542,4,0.00
2022/01/06 08:20,533,4,0.00
2022/01/06 08:25,527,4,0.00
2022/01/06 08:30,528,4,0.00
2022/01/06 08:35,530,4,0.00
2022/01/06 08:40,530,4,0.00
2022/01/06 08:45,522,4,0.00
2022/01/06 08:50,511,4,0.00
2022/01/06 08:55,498,4,0.00
2022/01/06 09:00,476,4,0.00
2022/01/06 09:05,467,4,0.00
2022/01/06 09:10,442,4,0.00
2022/01/06 09:15,471,4,0.00
2022/01/06 09:20,439,4,0.00
2022/01/06 09:25,469,4,0.00
2022/01/06 09:30,485,4,0.00
2022/01/06 09:35,495,4,0.00
2022/01/06 09:40,535,4,0.00
2022/01/06 09:45,508,4,0.00
2022/01/06 09:50,516,4,0.00
2022/01/06 09:55,465,4,0.00
2022/01/06 10:00,456,4,0.00
